time,open,high,low,close,ADX
1747798500,21377.75,21382,21375,21379,31.108745088885705
1747798800,21378,21382,21369,21381,31.18547615713955
1747799100,21381.5,21390.75,21381.25,21387,30.16105641359203
1747799400,21386.25,21390,21385,21386,29.209809508869327
1747799700,21385.25,21385.75,21375.75,21378.25,29.066337993721064
1747800000,21377.25,21378.25,21371.75,21373.25,29.21819992317744
1747800300,21373.5,21374.25,21369.75,21372,29.500145628693055
1747800600,21371.5,21380,21366.75,21370.5,28.986341665490418
1747800900,21371,21374,21367.75,21369.75,28.509237985373687
1747801200,21370,21370.75,21358,21359.5,28.833132110863286
1747801500,21360,21364.25,21354.75,21358.25,29.359935491066746
1747801800,21357.75,21367.25,21353.75,21365.25,29.412504609111206
1747802100,21365,21366,21357.5,21359.25,29.461318790152497
1747802400,21359.5,21359.75,21351.5,21354.5,29.977387748263805
1747802700,21354.5,21359.75,21350.75,21354.5,30.513270133420328
1747803000,21354.5,21355.75,21349.5,21355.75,31.10911583217108
1747803300,21355.5,21359,21352.25,21358,31.086920435225817
1747803600,21358,21368.75,21358,21363.75,29.591422190483442
1747803900,21364,21377,21362.75,21375.75,27.742228150999544
1747804200,21375.75,21380.5,21373,21378.75,26.398860163600276
1747804500,21378.75,21383,21377.25,21382.25,25.4124114039975
1747804800,21381.25,21384.5,21375.75,21383.5,24.496423270080633
1747805100,21383.25,21383.75,21373,21377,23.254293756344364
1747805400,21377.25,21378.25,21363,21367.5,22.310807181884282
1747805700,21367.25,21370.75,21360,21362.25,21.750790513017474
1747806000,21362,21362.5,21350.75,21352.75,22.088570366785053
1747806300,21352.75,21354,21339,21342.75,23.248381331825772
1747806600,21342.75,21344,21334,21338.5,24.628266206150855
1747806900,21338.25,21340.25,21327.25,21331.25,26.28242810556854
1747807200,21331.5,21340.5,21325.75,21330,27.897826272334935
1747807500,21329.25,21335,21323,21324.5,29.545060459045004
1747807800,21323.5,21329.25,21310.5,21314.75,31.652201808701864
1747808100,21314,21326.5,21303.5,21325.75,33.873410606871495
1747808400,21325.5,21335.25,21315,21320.25,34.67423949170321
1747808700,21320,21323,21313.5,21320.5,35.49491899054019
1747809000,21321.25,21332,21313.5,21315.5,35.08106352761512
1747809300,21316.25,21317.25,21292,21295.75,35.8248910464865
1747809600,21295.75,21310,21288.5,21305.5,36.66311886423269
